title,genres,actors,release_date,imdb_rating,summary,poster_path,wiki_link
The Pink Mirror,Comedy | Short,Edwin Fernandes | Ramesh Menon | Rishi Raj | Rufy Khan,14 September 2003 (USA),4.4,A unique film coming from India where homosexuality is still taboo  The Pink Mirror (Gulabi Aaina)  is a colorful funny look into the Indian homosexual closet.,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/The_Pink_Mirror.jpg/220px-The_Pink_Mirror.jpg,https://en.wikipedia.org/wiki/The_Pink_Mirror_(2003_film)
Xcuse Me,Comedy,Sharman Joshi | Sahil Khan,26 September 2003 (India),5.7,Chantu and Bantu are unemployed  and are able to get any employment due to lack of experience. They come across an advertisement for hotel management trainees in Goa  and make their way ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Xcuse_Me_poster.jpg/220px-Xcuse_Me_poster.jpg,https://en.wikipedia.org/wiki/Xcuse_Me
Raaz (2002 film),Drama | Horror | Musical,Dino Morea | Bipasha Basu | Malini Sharma | Shruti Ulfat | Anang Desai | Vishwajeet Pradhan | Ali Asgar | Mink Singh | Masood Akhtar | Pratima Kazmi | D. Siddharth | Neha Murli | Ishwar Patel | Kiran Randhawa,12 March 2002 (Kuwait),6.5,Sanjana and Aditya decide to give their marriage one last chance. They plan a holiday in Ooty  but they don't know that a strange figure is waiting for them to come.,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Raaz_2002_film.jpg/220px-Raaz_2002_film.jpg,https://en.wikipedia.org/wiki/Raaz_(2002_film)
Zameen (2003 film),Action | Adventure | Thriller,Ajay Devgn | Abhishek Bachchan | Bipasha Basu | Mukesh Tiwari | Pankaj Dheer | Mohan Joshi | Manish Khanna | Amrita Arora,26 September 2003 (India),5.3,Colonel Ranvir and ACP Jaideep joins forces to fight against Pakistani terrorists  who hijacks an Indian airplane and demands to free their militant leader in return.,https://upload.wikimedia.org/wikipedia/en/6/60/Zameen_poster.jpg,https://en.wikipedia.org/wiki/Zameen_(2003_film)
Waisa Bhi Hota Hai Part II,Comedy | Crime | Drama,Arshad Warsi | Prashant Narayanan | Sandhya Mridul | Pratima Kazmi | Anant Jog | Pankaj Saraswat | Suchitra Pillai | Ranvir Shorey | John Owen | Shruti Seth | Maria Goretti | Mahima Chaudhry | Ganesh Acharya | Rabbi Shergill,14 November 2003 (India),7.3,Revolves around a hapless copywriter torn between his crazy police officer fiancee and his new best friend  a hit man who inadvertently involves him underworld.,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Waisa_Bhi_Hota_Hai_Part_II.jpg/220px-Waisa_Bhi_Hota_Hai_Part_II.jpg,https://en.wikipedia.org/wiki/Waisa_Bhi_Hota_Hai_Part_II
Devdas (2002 Hindi film),Drama | Musical | Romance,Shah Rukh Khan | Aishwarya Rai Bachchan | Madhuri Dixit | Jackie Shroff | Kiron Kher | Smita Jaykar | Tiku Talsania | Vijayendra Ghatge | Milind Gunaji | Ananya Khare | Manoj Joshi | Ava Mukherjee | Dina Pathak | Vijay Crishna,12 July 2002 (India),7.6,After his wealthy family prohibits him from marrying the woman he is in love with  Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Devdas_%282002_Hindi_film%29.jpg/220px-Devdas_%282002_Hindi_film%29.jpg,https://en.wikipedia.org/wiki/Devdas_(2002_Hindi_film)
Kaante,Action | Crime | Drama,Amitabh Bachchan | Sanjay Dutt | Sunil Shetty | Mahesh Manjrekar | Lucky Ali | Kumar Gaurav | Namrata Singh Gujral | Malaika Arora | Rati Agnihotri | Isha Koppikar | Ranjit Chowdhry | Jeff Davis | Morgana Di Castlebesozza | Sanjay Sippy,20 December 2002 (India),6.6,Six bank robbers trying to pull off the perfect heist discover one of them is an undercover cop.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kaante_Official_Poster.jpg/220px-Kaante_Official_Poster.jpg,https://en.wikipedia.org/wiki/Kaante
Hum Tumhare Hain Sanam,Drama | Romance,Shah Rukh Khan | Madhuri Dixit | Salman Khan | Atul Agnihotri | Suman Ranganath | Aishwarya Rai Bachchan | Alok Nath | Aruna Irani | Laxmikant Berde | Vikas Anand | Asha Sharma | Payal Malhotra | Dinesh Hingoo | Azad Khatri,24 May 2002 (India),5.4,Gopal's blissful married life with Radha blemishes when Radha gets obsessed with the career of her friend  Suraj  who is a singer. Ripped apart by jealousy  Gopal deserts Radha.,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Hum_Tumhare_Hain_Sanam.jpg/220px-Hum_Tumhare_Hain_Sanam.jpg,https://en.wikipedia.org/wiki/Hum_Tumhare_Hain_Sanam
Aankhen (2002 film),Comedy | Crime | Drama,Amitabh Bachchan | Akshay Kumar | Sushmita Sen | Arjun Rampal | Paresh Rawal | Aditya Pancholi | Bipasha Basu | Kashmira Shah | Ajit Vachani | Arun Bali | Daya Shankar Pandey | Paresh Ganatra | Depesh Shah | Malvika Singh,5 April 2002 (India),7.4,After a temperamental man is unceremoniously stripped of his duties as a bank manager  he decides to seek revenge by robbing the bank. He trains three blind men to do this risky task for him.,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Aankhen_%282002%29.jpg/220px-Aankhen_%282002%29.jpg,https://en.wikipedia.org/wiki/Aankhen_(2002_film)
Saathiya (film),Drama | Family | Romance,Vivek Oberoi | Rani Mukerji | Shah Rukh Khan | Tabu | Sandhya Mridul | Tanuja | Satish Shah | Swaroop Sampat | Tinnu Anand | Ujjwal Rana | Anju Mahendru | Sharat Saxena | Shehnaz Anand | Anu Ansari,20 December 2002 (India),6.8,A couple elopes to get married and set up home hoping that just love will do the trick - but that's just the beginning of their story.,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Saathiyacover.jpg/220px-Saathiyacover.jpg,https://en.wikipedia.org/wiki/Saathiya_(film)
